,Date,Location,P1_24h_big_blue,P1_24h_med_blue,P1_24h_other,P1_24h_pink,P1_24h_turq,P1_qty_sample,P2_24h_big_blue,P2_24h_med_blue,P2_24h_other,P2_24h_pink,P2_24h_turq,P3_24h_big_blue,P3_24h_med_blue,P3_24h_other,P3_24h_pink,P3_24h_turq
0,2016-07-05,MRD,0,0,0,0,0,0.4,0,1,0,0,0,0,1,0,0,0
1,2016-07-12,MRD,22,0,37,20,0,4,17,3,26,17,4,12,9,21,33,7
2,2016-07-19,MRD,8,2,5,1,1,4,16,7,2,4,0,20,5,6,0,0
3,2016-06-21,MRD,2,10,0,0,0,1,0,2,0,2,2,0,2,0,6,1
4,2016-06-28,MRD,0,1,17,10,1,4,0,0,0,4,1,1,2,13,8,1
5,2016-07-26,MRD,0,6,2,3,0,4,0,0,3,2,0,25,40,2,1,5
6,2016-08-02,MRD,0,2,0,1,0,4,1,1,0,3,0,1,1,2,2,1
7,2016-08-09,MRD,0,1,2,6,1,4,0,0,0,0,0,0,0,0,0,3
9,2016-07-05,SVT,2,1,0,2,0,0.4,0,0,0,0,0,1,0,5,0,0
10,2016-07-12,SVT,32,47,29,26,9,4,36,26,7,40,13,33,29,14,29,10
11,2016-07-19,SVT,7,0,3,7,0,4,15,0,17,5,0,17,0,14,3,0
12,2016-06-21,SVT,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0
13,2016-06-28,SVT,0,0,0,2,0,4,0,1,14,7,0,0,0,18,5,0
14,2016-07-26,SVT,2,0,150,0,0,4,0,0,9,0,0,0,0,7,0,0
15,2016-08-02,SVT,1,0,1,0,0,4,0,0,2,1,0,0,0,3,1,0
16,2016-08-09,SVT,1,0,1,0,0,4,2,1,0,2,0,1,0,0,1,0
18,2016-07-05,VNX,0,0,0,0,0,0.4,0,0,1,1,0,1,0,0,1,0
19,2016-07-12,VNX,5,3,4,10,1,4,2,0,5,5,0,7,0,9,8,0
20,2016-07-19,VNX,27,15,4,2,1,4,11,7,2,0,0,3,3,4,0,0
21,2016-06-21,VNX,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
22,2016-06-28,VNX,2,5,0,8,1,4,0,3,8,0,0,8,15,0,9,4
23,2016-07-26,VNX,0,0,7,0,0,4,0,2,4,0,0,1,0,2,0,0
25,2016-08-09,VNX,2,3,2,0,1,4,13,19,7,0,9,14,5,5,4,0
26,2016-08-02,VNX,3,4,0,1,0,4,2,0,2,1,0,2,0,0,0,0
