06/01/18,76°/58°,0 IN,0 IN, 
06/02/18,78°/56°,0 IN,0 IN, 
06/03/18,78°/58°,0.42 IN,0 IN, 
06/04/18,69°/58°,0.08 IN,0 IN, 
06/05/18,66°/53°,0 IN,0 IN, 
06/06/18,62°/48°,0.57 IN,0 IN, 
06/07/18,63°/45°,0 IN,0 IN, 
06/08/18,74°/42°,0 IN,0 IN, 
06/09/18,74°/50°,0 IN,0 IN, 
06/10/18,78°/57°,0 IN,0 IN, 
06/11/18,84°/54°,0 IN,0 IN, 
06/12/18,84°/64°,0 IN,0 IN, 
06/13/18,82°/61°,0 IN,0 IN, 
06/14/18,83°/62°,0.48 IN,0 IN, 
06/15/18,83°/64°,0.01 IN,0 IN, 
06/16/18,79°/56°,0 IN,0 IN, 
06/17/18,76°/52°,0 IN,0 IN, 
06/18/18,79°/58°,0 IN,0 IN, 
06/19/18,87°/54°,0 IN,0 IN, 
06/20/18,90°/61°,0 IN,0 IN, 
06/21/18,90°/64°,0 IN,0 IN, 
06/22/18,92°/62°,0 IN,0 IN, 
06/23/18,92°/69°,0 IN,0 IN, 
06/24/18,84°/65°,0.03 IN,0 IN, 
06/25/18,81°/59°,0 IN,0 IN, 
06/26/18,86°/54°,0.01 IN,0 IN, 
06/27/18,85°/62°,0.47 IN,0 IN, 
06/28/18,78°/58°,0.13 IN,0 IN, 
06/29/18,67°/53°,0.08 IN,0 IN, 
06/30/18,72°/50°,0 IN,0 IN, 
07/01/18,66°/54°,0.02 IN,0 IN, 
07/02/18,66°/54°,0.05 IN,0 IN, 
07/03/18,76°/54°,0 IN,0 IN, 
07/04/18,81°/51°,0 IN,0 IN, 
07/05/18,87°/53°,0 IN,0 IN, 
07/06/18,91°/56°,0 IN,0 IN, 
07/07/18,89°/63°,0 IN,0 IN, 
07/08/18,92°/60°,0.01 IN,0 IN, 
07/09/18,79°/63°,0.35 IN,0 IN, 
07/10/18,79°/59°,0.06 IN,0 IN, 
07/11/18,77°/58°,0 IN,0 IN, 
07/12/18,82°/61°,0 IN,0 IN, 
07/13/18,78°/57°,0 IN,0 IN, 
07/14/18,80°/58°,0 IN,0 IN, 
07/15/18,75°/53°,0 IN,0 IN, 
07/16/18,80°/49°,0 IN,0 IN, 
07/17/18,85°/53°,0 IN,0 IN, 
07/18/18,90°/58°,0 IN,0 IN, 
07/19/18,91°/61°,0 IN,0 IN, 
07/20/18,84°/61°,0.01 IN,0 IN, 
07/21/18,82°/59°,0.52 IN,0 IN, 
07/22/18,81°/58°,0.07 IN,0 IN, 
07/23/18,78°/60°,0 IN,0 IN, 
07/24/18,69°/56°,0.17 IN,0 IN, 
07/25/18,67°/56°,0.14 IN,0 IN, 
07/26/18,74°/56°,0 IN,0 IN, 
07/27/18,78°/56°,0.02 IN,0 IN, 
07/28/18,77°/57°,0 IN,0 IN, 
07/29/18,85°/53°,0 IN,0 IN, 
07/30/18,85°/61°,0.17 IN,0 IN, 
07/31/18,79°/60°,0.02 IN,0 IN, 
08/01/18,87°/61°,0 IN,0 IN, 
08/02/18,92°/62°,0 IN,0 IN, 
08/03/18,95°/67°,0.01 IN,0 IN, 
08/04/18,88°/65°,0 IN,0 IN, 
08/05/18,86°/62°,0 IN,0 IN, 
08/06/18,75°/54°,0 IN,0 IN, 
08/07/18,81°/49°,0 IN,0 IN, 
08/08/18,64°/57°,1.11 IN,0 IN, 
08/09/18,71°/55°,0.05 IN,0 IN, 
08/10/18,62°/51°,0.47 IN,0 IN, 
08/11/18,60°/51°,0.07 IN,0 IN, 
08/12/18,72°/53°,0 IN,0 IN, 
